Makita Werkzeug Ges.m.b.H.                                   UIDNr: AT414679800;;;;;;;;;;;;;
Kolpingstrasse 13                                            ARA-LizenzNr.: 2516;;;;;;;;;;;;;
1230 Vienna - AUSTRIA;;;;;;;;;;;;;
;;;;;;;;;;;;;
ETD:;;;;;;;;;;;;;
ETA:;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
PID;PVEND;PORD;PLINE;I1DES1;PPROD;IDSCE;PQORD;PUM;I01DLOC;ENTRYDATE;DUEDATE;PECST;TOTAL
PO;100;27392;171;;517033-3;ARMATURE ASS'Y 220V;10;PC;O/F7B;20160503;20160912;9,48;94,8
PO;100;27392;172;;517358-5;ARMATURE ASS'Y 220-240V;40;PC;O/M5C;20160503;20160912;11,93;477,2
PO;100;27392;173;;517448-4;ARMATURE ASS'Y  220-240V;20;PC;O/F7C;20160503;20160912;9,4;188
PO;100;27392;174;;517513-9;ARMATURE ASS'Y 220V;30;PC;O/M7A;20160503;20160912;11,23;336,9
PO;100;27392;175;;517583-8;ARMATURE ASS'Y  220-240V;10;PC;O/N7D;20160503;20160912;10,53;105,3
PO;100;27392;176;;526008-1;FIELD ASS'Y 220V;10;PC;N/Q4B;20160503;20160912;17,94;179,4
PO;100;27392;177;;528706-3;FIELD ASS'Y 220V;10;PC;N/J4D;20160503;20160912;12,32;123,2
PO;100;27392;178;;5973002002;CAMGEAR COVER;5;PC;V5D7C2;20160503;20160912;2,88;14,4
PO;100;27392;179;;5982500200;PISTON RING;5;PC;RF2A40;20160503;20160912;0,6;3
PO;100;27392;180;;6165012004;CONTROL LEVER ASS'Y;10;PC;EEE;20160503;20160912;0;0
PO;100;27392;181;;6165500701;CONNECTOR;5;PC;E9B2C1;20160503;20160912;1,94;9,7
PO;100;27392;182;;619216-2;Armature;10;PC;O/L2B;20160503;20160912;8,46;84,6
PO;100;27392;183;;631391-4;CONTROLLER;10;PC;Y1H3A1;20160503;20160912;13,11;131,1
PO;100;27392;184;;631492-8;CONTROLLER;10;PC;S1E2D2;20160503;20160912;10,75;107,5
PO;100;27392;185;;631987-1;Motor control unit;10;PC;E8M1C2;20160503;20160912;116,43;1164,3
PO;100;27392;186;;632A84-2;BRUSH HOLDER;5;PC;T1B2E2;20160503;20160912;2,68;13,4
PO;100;27392;187;;632D60-4;STATOR 220V-240V;5;PC;N/O2A;20160503;20160912;32,05;160,25
PO;100;27392;188;;632D63-8;STATOR;5;PC;N/H2D;20160503;20160912;37,81;189,05
PO;100;27392;189;;635013-8;FIELD 220V;10;PC;N/F4B;20160503;20160912;2,89;28,9
;;;;;;;;;;;;;11843,65
